Sr No,Date dd/mm/yyyy,StartupName,Industry Vertical,SubVertical,CityLocation,CityCode,InvestorsName,InvestmentnType,AmountUSD,Remarks
411,22/01/2018,Skillate,Technology,Artificial Intellegence,Bengaluru,348,"Incubate Fund India, Anuj Agrawal",Private Equity,0,nan
412,22/01/2018,OptaCredit,Finance,Alternative Lending,Chennai,349,DMI Finance,Private Equity,4000000,nan
413,22/01/2018,AEON Learning,Technology,Education,Bengaluru,350,Dr. Ranjan Pai,Private Equity,3200000,nan
414,23/01/2018,Milkbasket,E-commerce,Online Grocery,Gurugram,351,Unilever Ventures,Private Equity,3000000,nan
415,24/01/2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,352,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000,nan
416,24/01/2018,Rao IIT Academy,Education,Coaching Services,Mumbai,352,Avendus Finance,Structured Debt,8600000,nan
417,24/01/2018,Aye Finance,Finance,Online Lending,Gurugram,353,IFMR Capital,Term Loan,6240000,nan
418,25/01/2018,Glassic,Ecommerce,Eyewear,Bengaluru,354,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,0,nan
419,25/01/2018,GreyAtom,Technology,Education,Mumbai,355,Pravega Ventures,Private Equity,1000000,nan
420,26/01/2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,356,RNT Capital,Private Equity,7400000,nan
421,29/01/2018,eKincare,Healthcare,Technology,Hyderabad,357,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000,nan
422,29/01/2018,The Wedding Brigade,Consumer internet,Online Services,Mumbai,358,Blume Ventures,Private Equity,1000000,nan
423,30/01/2018,PeeSafe,Healthcare,Hygiene,Gurugram,359,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000,nan
424,30/01/2018,BrowserStack,Technology,Browser Testing,Mumbai,360,Accel Partners,Private Equity,50000000,nan
425,30/01/2018,Scapic,Technology,Virtual Reality,Bengaluru,361,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000,nan
426,30/01/2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,362,Undisclosed Investors,Private Equity,7600000,nan
427,30/01/2018,CureFit,Healthcare,Fitness,Bengaluru,363,"HDFC Bank, Axis Bank",Debt Funding,10000000,nan
428,31/01/2018,iNurture,Technology,Education Solutions,Bengaluru,363,Ventureast,Private Equity,4400000,nan
429,1/12/2017,Strata Enviro,Technology,IoT based air pollution controller,Mumbai,364,Scale Minds,Private Equity,0,nan
430,5/12/2017,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,365,Google,Private Equity,12300000,nan
431,5/12/2017,Tata Housing,Real Estate,Residential Project,Mumbai,366,Hines,Private Equity,23000000,nan
432,5/12/2017,HandyTrain,Technology,Mobile Learning Management Platform,Goa,367,NB Ventures,Private Equity,1000000,nan
433,5/12/2017,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,368,Undisclosed Investors,Seed/Angel Funding,500000,nan
434,6/12/2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,369,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000,nan
435,6/12/2017,Fintobox,Technology,Child Learning & Development Platform,Chennai,370,Lightbox,Private Equity,7000000,nan
436,7/12/2017,Mswipe,Technology,Mobile point of sale services provider,Mumbai,371,Eduardo Saverin,Private Equity,10000000,nan
437,7/12/2017,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,371,Kalpvriksh,Private Equity,3100000,nan
438,7/12/2017,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,372,Somerset Indus Capital Ventures,Seed/Angel Funding,750000,nan
439,7/12/2017,eShakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,373,IDG Ventures,Debt Funding,2300000,nan
440,8/12/2017,Inshorts,Technology,Mobile News Curation App,Noida,374,Tiger Global,Private Equity,5000000,nan
441,11/12/2017,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,375,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000,nan
442,11/12/2017,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,376,Village Capital,Seed/Angel Funding,"50,000",nan
443,11/12/2017,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,377,Village Capital,Seed/Angel Funding,"50,000",nan
444,11/12/2017,Furlenco,Technology,Furniture Rental Platform,Bengaluru,377,Aamir Khan,Debt Funding,1200000,nan
445,12/12/2017,I Can Stay,Technology,Hotel Aggregator Platform,Delhi,378,HT Media,Private Equity,1800000,nan
446,12/12/2017,Fracktal Works,Technology,Platform based on 3D printing and Digital Manufacturing,Bengaluru,379,Hyderabad Angels,Seed/Angel Funding,0,nan
447,12/12/2017,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,380,Accel Partners,Private Equity,17500000,nan
448,12/12/2017,Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,381,Munesh Khanna,Seed/Angel Funding,233000,nan
449,13/12/2017,MindTickle,Technology,Gamification Platform to train Sales People,Pune,382,Canaan Partners,Private Equity,27000000,nan
450,13/12/2017,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,383,Rakesh Jhunjhunwala,Private Equity,27000000,nan
451,13/12/2017,DocsApp,Technology,Mobile Application for Doctor Consultation,Bengaluru,384,Bessemer Venture Partners,Private Equity,7200000,nan
452,13/12/2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,385,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,0,nan
453,14/12/2017,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,386,RB Investments,Private Equity,7000000,nan
454,14/12/2017,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,386,Matrix Partners,Private Equity,6000000,nan
455,14/12/2017,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,387,RoundGlass Partners LLC,Seed/Angel Funding,250000,nan
456,14/12/2017,HomeLane,E-Commerce,Online Furniture Marketplace,Bengaluru,388,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,10000000,nan
457,14/12/2017,WeDoSky,Technology,Provides Business Insights using Drone Imaginary,Delhi,389,Mumbai Angels Network,Private Equity,0,nan
458,15/12/2017,Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,390,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000,nan
459,15/12/2017,Cash Suvidha,E-Commerce,Online Micro-Lending Platform,Delhi,391,N/A,Debt Funding,2700000,nan
460,18/12/2017,Sky Met Weather,Technology,Weather Forecast Platform,Noida,392,InsuResillience Investment Fund,Private Equity,0,nan
461,19/12/2017,Springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,393,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,9500000,nan
462,19/12/2017,Peel Works,Technology,SaaS based Big Data Analytics Platform,Mumbai,394,Unilever Ventures,Private Equity,0,nan
463,19/12/2017,9Stacks,Technology,Online Poker Platform,Delhi,395,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000,nan
464,20/12/2017,Your Quote,Technology,Vernacular and Video Content Platform,Bengaluru,396,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,1000000,nan
465,20/12/2017,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,397,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000,nan
466,21/12/2017,Indus OS,Technology,Regional Operating System for Smartphones,Mumbai,398,Omidyar Network,Private Equity,4000000,nan
467,21/12/2017,EasyEcom,E-Commerce,Ecommerce enabler platform,Bengaluru,399,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,150000,nan
468,21/12/2017,IGP.com,E-Commerce,Online Gifting Platform,Uttar Pradesh,400,Venture Catalysts,Private Equity,0,nan
469,26/12/2017,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,401,Eight Roads Ventures India,Private Equity,10000000,nan
470,27/12/2017,Garage On Road,E-Commerce,Online vehicle service booking platform,Noida,402,Gaurav Gupta,Private Equity,0,nan
471,27/12/2017,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,403,Jones Lang LaSalle,Private Equity,3800000,nan
472,2/11/2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,404,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000,nan
473,2/11/2017,AadharAPI.com,Technology,Aadhaar-based API provider,Pune,405,CIO Angel Network,Seed Funding,0,nan
474,2/11/2017,FreshBoxx,ECommerce,Online Grocery Store,Bangalore,406,Jayant Humbarwadi,Seed Funding,0,nan
475,3/11/2017,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,406,Undisclosed Investors,Seed Funding,1000000,nan
476,3/11/2017,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,407,"Kae Capital Management, Nazara Technologies",Seed Funding,0,nan
477,3/11/2017,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,408,Venture Catalysts,Seed Funding,500000,nan
478,4/11/2017,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,408,IDG Ventures India,Private Equity,1000000,nan
479,6/11/2017,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,408,IDG Ventures India,Private Equity,0,nan
480,6/11/2017,Leverage Edu,ECommerce,Online platform for Higher Education Services,New Delhi,409,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,0,nan
481,7/11/2017,Crayon Data,Technology,Customer Engagement Platform,New Delhi,409,Infosys co-founder Kris Gopalakrishnan,Seed Funding,0,nan
482,7/11/2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,410,"Matrix Partners India, Khosla Ventures",Private Equity,5000000,nan
483,7/11/2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,411,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,5000000,nan
484,8/11/2017,TalentEdge,Technology,Distance Education Learning Platform,Bangalore,411,Lumis Partners,Private Equity,7600000,nan
485,8/11/2017,Fisdom,Finance,Mutual Fund Investment App,Bangalore,411,Quona Capital Management,Private Equity,3000000,nan
486,8/11/2017,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,412,"Pioneering Ventures, Syngenta AG",Private Equity,3000000,nan
487,8/11/2017,OpenApp,Technology,IoT based Tech Startup,Bangalore,413,"Axilor Ventures, Kumar Vembu",Private Equity,3600000,nan
488,9/11/2017,NoPaperForms,Technology,Enrolment Management Platform,Delhi,414,Info Edge,Seed Funding,872000,nan
489,9/11/2017,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bangalore,415,Matrix Partners,Seed Funding,0,nan
490,9/11/2017,Mobiliz AR,Technology,Augmented Reality based Tech platform,Bangalore,415,"IDG Ventures, IDFC-Parampara Fund",Private Equity,0,nan
491,10/11/2017,Qubole,Technology,Big Data based analytics platform,Bangalore,415,"Singtel, Innov8, Harmony Partners",Private Equity,25000000,nan
492,10/11/2017,Happily Unmarried,ECommerce,Online Gifting platform,Nw Delhi,416,Wipro Consumer Care,Private Equity,0,nan
493,13/11/2017,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,417,Accel Partners,PrivateEquity,15000000,nan
494,14/11/2017,Hungry Foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurgaon,418,GAIL India Ltd,Seed Funding,0,nan
495,14/11/2017,Active AI,Technology,AI based FinTech platform,Bangalore,419,Vertex Ventures,Private Equity,8250000,nan
496,15/11/2017,Sumeru,Technology,Banking Software License Platform,Bangalore,419,Undisclosed Investors,Seed Funding,900000,nan
497,15/11/2017,ElderAid Wellness,Health Care,Social Healthcare Enterprise,Bangalore,419,Rugmini Menon,Angel Funding,0,nan
498,15/11/2017,Omnia Information,Technology,WiFi Analytics Platform,Delhi,420,Omidyar Network,Private Equity,3000000,nan
499,15/11/2017,Josh Talks,Inspiration,Storytelling platform,Gurgaon,421,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,0,nan
500,15/11/2017,Reniso,Technology,End-to-End property management for landlords living away,New Delhi,422,"Nishit Sharma, Alok Srivastava",Seed Funding,0,nan
501,17/11/2017,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,423,Undisclosed Investors,Seed/Angel Funding,200000,nan
502,17/11/2017,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,424,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,0,nan
503,20/11/2017,ONN Bikes,Technology,Self riding bike rental program,Mumbai,425,Z Nation Lab,Seed/Angel Funding,692000,nan
504,21/11/2017,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,426,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,329230,nan
505,21/11/2017,Heckyl,Technology,Big Data Analytics Platform,Mumbai,427,"Notion Capital, IDG Ventures",Private Equity,2700000,nan
506,21/11/2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,427,1Crowd,Seed/Angel Funding,400000,nan
507,21/11/2017,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,427,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,250000,nan
508,21/11/2017,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,428,"Sabre Partners, MEMG CDC",Private Equity,26000000,nan
509,21/11/2017,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,429,Paytm,Private Equity,0,nan
510,21/11/2017,Epiq Capital,Finance,Tech based investor firm,Mumbai,429,Global Institutional Investors,Private Equity,200000000,nan
511,22/11/2017,MiStay,Technology,Online Hotel Reservation Platform,Bangalore,430,Axilor Ventures,Seed/Angel Funding,0,nan
512,23/11/2017,WittyFeed,Storytelling,Viral Content and storytelling platform,Indore,431,Sandeep Aggarwal,Seed/Angel Funding,0,nan
513,24/11/2017,IDG Ventures,Finance,Venture Capitalist,Bangalore,432,Uniliver Ventures,Private Equity,10000000,nan
514,24/11/2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,433,Javelin StartupO Victory Fund,Seed/Angel Funding,250000,nan
515,27/11/2017,Edelweiss,Finance,Diversified Financial,Mumbai,434,Undisclosed investors,Private Equity,270000000,nan
516,27/11/2017,ERA,Technology,Identity management platform,Mumbai,434,Amit Patni,Seed/Angel Funding,"39,000",nan
517,27/11/2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,434,Sixth Sense Ventures,Private Equity,3800000,nan
518,28/11/2017,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,435,Gaja Capital,Private Equity,13000000,nan
519,28/11/2017,FR8,Technology,Online Truck aggregator platform,Chennai,436,IFMR Capital,Debt Funding,1500000,nan
520,28/11/2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,437,"NB Ventures, MediAssist",Seed/Angel Funding,1350000,nan
521,28/11/2017,Stanza Living,Technology,Student accommodation platform,Delhi,438,"Matrix PArtners, Accel",Private Equity,2000000,nan
522,3/10/2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,439,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0,nan
523,3/10/2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,440,Venture Catalysts,Seed Funding,0,nan
524,3/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,441,"Tencent, Softbank Group",Private Equity,110000000,nan
525,4/10/2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,441,Digital Garage,Seed Funding,0,nan
526,4/10/2017,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,441,Sprout Angels,Seed Funding,306000,nan
527,4/10/2017,PhonePe,Consumer Internet,Digital Wallet,Bangalore,441,Flipkart,Private Equity,38700000,nan
528,5/10/2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,442,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,1000000,nan
529,5/10/2017,Oorjan,Technology,rooftop solar platform,Mumbai,443,Globevestor,Seed Funding,450000,nan
530,5/10/2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,444,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,9200000,nan
531,6/10/2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,445,Carpediem Capital,Private Equity,3100000,nan
532,6/10/2017,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,446,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,8000000,nan
533,6/10/2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,446,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,10000000,nan
534,6/10/2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,446,"Das Capital, Simile Ventures",Private Equity,2000000,nan
535,9/10/2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,447,Daffodil Software,Seed Funding,0,nan
536,9/10/2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,448,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,2700000,nan
537,9/10/2017,IBSFintech,Technology,Treasury Risk Management Solution,Bangalore,448,Shailesh Haribhakti,Seed Funding,0,nan
538,9/10/2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,448,Aequs Group,Private Equity,0,nan
539,9/10/2017,OneStepUp,Technology,Education Technology platform,New Delhi,449,Orient BlackSwan,Seed Funding,336000,nan
540,9/10/2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,450,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,0,nan
541,10/10/2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,450,"Multipoint Capital,",Private Equity,1400000,nan
542,10/10/2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,450,Saama Capital and DSG Consumer Partners,Private Equity,4500000,nan
543,11/10/2017,Meesho,ECommerce,Online Reseller Network,Bangalore,451,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000,nan
544,11/10/2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,452,KStart Capital,Private Equity,1100000,nan
545,12/10/2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,452,Undisclosed investors,Seed Funding,235000,nan
546,13/10/2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,453,"Wellington Management, DG Ventures India, True North",Private Equity,77000000,nan
547,13/10/2017,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,454,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,250000,nan
548,13/10/2017,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,455,Tiger Global Management,Private Equity,2000000,nan
549,16/10/2017,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,456,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000,nan
550,16/10/2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,457,Amicus Capital,Private Equity,9200000,nan
551,17/10/2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,458,"Accel Partners, Zephyr Peacock",Private Equity,7000000,nan
552,18/10/2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,459,Experian,Private Equity,7000000,nan
553,18/10/2017,Hasura,Technology,App building platform,Chennai,459,"Nexus, GREE Ventures",Private Equity,0,nan
554,18/10/2017,BlackBuck,Logistics,B2B Logistics provider,Bangalore,460,Innoven Capital,Private Equity,7700000,nan
555,18/10/2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,461,Undisclosed Investor,Seed Funding,500000,nan
556,23/10/2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,461,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7000000,nan
557,23/10/2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,461,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000,nan
558,23/10/2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,461,IFMR Capital,Debt Funding,3100000,nan
559,23/10/2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,462,Rockstart Accelerator,Seed Funding,118000,nan
560,24/10/2017,TagBox,Technology,Cold Chain monitoring solution,Bangalore,463,"Indian Angel network, IAN Fund",Seed Funding,0,nan
561,24/10/2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,464,Venture Catalysts,Seed Funding,500000,nan
562,24/10/2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,465,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3000000,nan
563,24/10/2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,466,"Blume Ventures, Indian Angel Network",Seed Funding,722000,nan
564,24/10/2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,467,Greenfield Advisory,Private Equity,0,nan
565,25/10/2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,468,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0,nan
566,25/10/2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,468,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,550000,nan
567,26/10/2017,Big Basket,eCommerce,Online Grocery portal,Bangalore,469,Helion Ventures Partners,Private Equity,5000000,nan
568,27/10/2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,470,Kotak Mahindra Bank,Debt Funding,3800000,nan
569,27/10/2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,471,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0,nan
570,28/10/2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,471,Y Combinator,Seed Funding,120000,nan
571,28/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,472,ANI Technologies Pvt. Ltd,Private Equity,7700000,nan
572,30/10/2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,473,Mahindra & Mahindra and Infuse Ventures,Private Equity,2000000,nan
573,31/10/2017,NetMeds,ECommerce,Online Pharmacy,Chennai,474,TannCam Investment & Sistema Asia Fund,Private Equity,14000000,nan
574,31/10/2017,MSE,Finance,Equity Stock Exchange,Mumbai,475,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,32000000,nan
575,1/9/2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,476,YourNest Angel Fund,Private Equity,1000000,nan
576,1/9/2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,477,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1500000,nan
577,1/9/2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,478,InfoEdge,Private Equity,1300000,nan
578,4/9/2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,479,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000,nan
579,5/9/2017,Shubh Loans,Consumer Internet,online lending platform,Bangalore,480,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1500000,nan
580,5/9/2017,Nest Education,Technology,EduTech Platform,Gurgaon,481,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,600000,nan
581,6/9/2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,482,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000,nan
582,6/9/2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,483,"HIS Co. Ltd, MakeMyTrip",Private Equity,10000000,nan
583,6/9/2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,484,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000,nan
584,6/9/2017,Power2SME,eCommerce,Buying Club for Small Businesses,Gurgaon,485,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,26000000,nan
585,7/9/2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,486,Matrix Partners,Private Equity,5000000,nan
586,7/9/2017,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,487,V Balakrishnan.,Private Equity,0,nan
587,7/9/2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,488,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000,nan
588,7/9/2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,489,IFMR Capital,Debt Funding,780000,nan
589,7/9/2017,MamaEarth,eCommerce,online babycare products marketplace,Gurgaon,490,Fireside Ventures,Seed Funding,0,nan
590,7/9/2017,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,491,RPG Enterprises,Private Equity,1000000,nan
591,8/9/2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,492,"Triodos Investment Management,",Debt Funding,6900000,nan
592,8/9/2017,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,493,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0,nan
593,11/9/2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,494,Warburg Pincus,Private Equity,30000000,nan
594,11/9/2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,495,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,6200000,nan
595,12/9/2017,Sattviko,eCommerce,Health Food etailer,New Delhi,496,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0,nan
596,12/9/2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,496,Undisclosed Investor,Seed Funding,100000,nan
597,12/9/2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,497,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000,nan
598,12/9/2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,498,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000,nan
599,13/09/2017,WittyFeed,Technology,Content marketing platform,Indore,499,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0,nan
600,13/09/2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,500,"Accel Partners,",Private Equity,2000000,nan
601,13/09/2017,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurgaon,501,China Lodging Group,Private Equity,10000000,nan
602,13/09/2017,Unacademy,Consumer Internet,Online learning platform,Mumbai,502,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000,nan
603,13/09/2017,Heterogenous,Technology,Telecom & IoT platform,Chennai,503,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000,nan
604,14/09/2017,Gurukul,Consumer Internet,co-working space provider,New Delhi,504,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0,nan
605,14/09/2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,505,ECL Finance,Private Equity,44000000,nan
